                                                                                             	/home/glatard/code/one-voxel/results/onevoxel vs /home/glatard/code/one-voxel/results/regular	
logs/worker/psom2/worker.end                                                                 	                                             1                                              	
logs/worker/psom2/heartbeat.mat                                                              	                                             1                                              	
logs/worker/psom2/worker.log                                                                 	                                             1                                              	
logs/worker/psom2/worker.exit                                                                	                                             0                                              	
logs/worker/psom2/worker.err                                                                 	                                             0                                              	
logs/worker/psom2/worker.out                                                                 	                                             0                                              	
logs/worker/psom2/worker.failed                                                              	                                             0                                              	
logs/garbage/heartbeat.mat                                                                   	                                             1                                              	
logs/garbage/garbage.exit                                                                    	                                             0                                              	
logs/garbage/garbage_history.txt                                                             	                                             1                                              	
logs/PIPE_profile_backup.mat                                                                 	                                             1                                              	
logs/PIPE.exit                                                                               	                                             0                                              	
logs/PIPE_config.mat                                                                         	                                             1                                              	
pipe_parameters.mat                                                                          	                                             1                                              	
resample/fmri_sub01_sesstest_taskrest_n_extra.mat                                            	                                             1                                              	
resample/fmri_sub02_sesstest_taskrest_n_confounds.tsv.gz                                     	                                             1                                              	
resample/fmri_sub01_sessretest_taskrest_n_extra.mat                                          	                                             1                                              	
resample/fmri_sub02_sessretest_taskrest_n_extra.mat                                          	                                             1                                              	
resample/niak_confounds.json                                                                 	                                             0                                              	
resample/fmri_sub02_sessretest_taskrest_n.nii.gz                                             	                                             1                                              	
resample/fmri_sub01_sessretest_taskrest_n_confounds.tsv.gz                                   	                                             1                                              	
resample/fmri_sub02_sesstest_taskrest_n_extra.mat                                            	                                             1                                              	
resample/fmri_sub02_sesstest_taskrest_n.nii.gz                                               	                                             1                                              	
resample/fmri_sub02_sessretest_taskrest_n_confounds.tsv.gz                                   	                                             1                                              	
resample/fmri_sub01_sesstest_taskrest_n_confounds.tsv.gz                                     	                                             1                                              	
resample/fmri_sub01_sessretest_taskrest_n.nii.gz                                             	                                             1                                              	
resample/fmri_sub01_sesstest_taskrest_n.nii.gz                                               	                                             1                                              	
report/qc_registration.csv                                                                   	                                             0                                              	
report/motion/target_native_sub02_sesstest_taskrest.png                                      	                                             0                                              	
report/motion/dataMotion_sub02_sessretest_taskrest.js                                        	                                             1                                              	
report/motion/motion_native_sub02_sessretest_taskrest.png                                    	                                             0                                              	
report/motion/target_native_sub01_sesstest_taskrest.png                                      	                                             0                                              	
report/motion/target_stereo_sub01_sessretest_taskrest.png                                    	                                             1                                              	
report/motion/motion_stereo_sub02_sesstest_taskrest.png                                      	                                             1                                              	
report/motion/target_stereo_sub02_sessretest_taskrest.png                                    	                                             1                                              	
report/motion/target_native_sub02_sessretest_taskrest.png                                    	                                             0                                              	
report/motion/motion_stereo_sub01_sessretest_taskrest.png                                    	                                             1                                              	
report/motion/motion_native_sub01_sesstest_taskrest.png                                      	                                             0                                              	
report/motion/dataMotion_sub01_sessretest_taskrest.js                                        	                                             1                                              	
report/motion/target_native_sub01_sessretest_taskrest.png                                    	                                             0                                              	
report/motion/motion_native_sub02_sesstest_taskrest.png                                      	                                             0                                              	
report/motion/target_stereo_sub01_sesstest_taskrest.png                                      	                                             1                                              	
report/motion/motion_report_sub01_sessretest_taskrest.html                                   	                                             0                                              	
report/motion/motion_report_sub02_sesstest_taskrest.html                                     	                                             0                                              	
report/motion/motion_native_sub01_sessretest_taskrest.png                                    	                                             0                                              	
report/motion/motion_report_sub01_sesstest_taskrest.html                                     	                                             0                                              	
report/motion/motion.html                                                                    	                                             0                                              	
report/motion/motion_stereo_sub01_sesstest_taskrest.png                                      	                                             1                                              	
report/motion/dataMotion_sub02_sesstest_taskrest.js                                          	                                             1                                              	
report/motion/dataMotion_sub01_sesstest_taskrest.js                                          	                                             1                                              	
report/motion/motion_stereo_sub02_sessretest_taskrest.png                                    	                                             1                                              	
report/motion/target_stereo_sub02_sesstest_taskrest.png                                      	                                             1                                              	
report/motion/motion_report_sub02_sessretest_taskrest.html                                   	                                             0                                              	
report/index.html                                                                            	                                             0                                              	
report/summary/fd.js                                                                         	                                             1                                              	
report/summary/pipeSummary.js                                                                	                                             1                                              	
report/summary/chartBrain.js                                                                 	                                             1                                              	
report/summary/filesIn.js                                                                    	                                             1                                              	
report/summary/chartT1.js                                                                    	                                             1                                              	
report/summary/chartBOLD.js                                                                  	                                             1                                              	
report/assets/underscore/underscore-min.js                                                   	                                             0                                              	
report/assets/underscore/LICENSE.txt                                                         	                                             0                                              	
report/assets/jsImageSlider/navbuttons.png                                                   	                                             0                                              	
report/assets/jsImageSlider/js-image-slider.js                                               	                                             0                                              	
report/assets/jsImageSlider/thumbs-bar.gif                                                   	                                             0                                              	
report/assets/jsImageSlider/bullet.png                                                       	                                             0                                              	
report/assets/jsImageSlider/js-image-slider.css                                              	                                             0                                              	
report/assets/jsImageSlider/active-bg.png                                                    	                                             0                                              	
report/assets/keen/keen.min.js                                                               	                                             0                                              	
report/assets/keen/meta.js                                                                   	                                             0                                              	
report/assets/keen/keen-dashboards.css                                                       	                                             0                                              	
report/assets/keen/LICENSE.txt                                                               	                                             0                                              	
report/assets/bootstrap/bootstrap.min.css                                                    	                                             0                                              	
report/assets/bootstrap/bootstrap.min.js                                                     	                                             0                                              	
report/assets/bootstrap/LICENSE.txt                                                          	                                             0                                              	
report/assets/backbone/backbone-min.js                                                       	                                             0                                              	
report/assets/backbone/LICENSE.txt                                                           	                                             0                                              	
report/assets/select2/select2.min.js                                                         	                                             0                                              	
report/assets/select2/LICENSE.md                                                             	                                             0                                              	
